#CopyNumber, LargeOrSmall, NorthOrSouth, CircleNumber, PositionNumber, UpOrDown, PmtType, GCU, Channel
#update PMT Mapping file by wuchx 230831, including fourth Circle.
163,0,0,56,19,0,2,6267,1
164,0,0,56,20,0,2,6267,2
165,0,0,56,21,0,2,6267,3
166,0,0,56,22,0,2,5875,2
167,0,0,56,23,0,2,5875,3
168,0,0,56,24,0,2,5875,1
169,0,0,56,25,0,2,5794,2
170,0,0,56,26,0,2,5794,3
171,0,0,56,27,0,2,5794,1
172,0,0,56,28,0,2,6411,1
173,0,0,56,29,0,2,6411,2
174,0,0,56,30,0,2,6411,3
175,0,0,56,31,0,2,4694,1
176,0,0,56,32,0,2,4694,2
177,0,0,56,33,0,2,4694,3
178,0,0,56,34,0,2,3944,2
179,0,0,56,35,0,2,3944,3
180,0,0,56,36,0,2,3944,1
181,0,0,56,37,0,2,4718,1
182,0,0,56,38,0,2,4718,2
183,0,0,56,39,0,2,4718,3
184,0,0,56,40,0,2,5171,2
185,0,0,56,41,0,2,5171,3
186,0,0,56,42,0,2,5171,1
187,0,0,56,43,0,2,5345,2
188,0,0,56,44,0,2,5345,3
189,0,0,56,45,0,2,5345,1
190,0,0,55,1,0,2,2952,1
191,0,0,55,2,0,1,3116,3
192,0,0,55,3,0,2,3116,2
193,0,0,55,4,0,2,3116,1
194,0,0,55,5,0,2,6165,1
195,0,0,55,6,0,2,6165,2
196,0,0,55,7,0,2,6165,3
197,0,0,55,8,0,2,6399,3
198,0,0,55,9,0,1,6399,2
199,0,0,55,10,0,2,6399,1
200,0,0,55,11,0,1,5087,3
201,0,0,55,12,0,2,5087,2
202,0,0,55,13,0,2,5087,1
203,0,0,55,14,0,2,5868,1
204,0,0,55,15,0,2,5868,2
205,0,0,55,16,0,1,5868,3
206,0,0,55,17,0,2,6536,1
207,0,0,55,18,0,1,6536,2
208,0,0,55,19,0,2,6536,3
209,0,0,55,20,0,2,5849,3
210,0,0,55,21,0,2,5849,2
211,0,0,55,22,0,2,5849,1
212,0,0,55,23,0,2,6497,1
213,0,0,55,24,0,2,6497,2
214,0,0,55,25,0,1,6497,3
215,0,0,55,26,0,2,4443,1
216,0,0,55,27,0,2,4443,2
217,0,0,55,28,0,2,4443,3
218,0,0,55,29,0,2,1137,3
219,0,0,55,30,0,2,1137,2
220,0,0,55,31,0,2,1137,1
221,0,0,55,32,0,1,4176,3
222,0,0,55,33,0,2,4176,2
223,0,0,55,34,0,1,4176,1
224,0,0,55,35,0,2,3128,1
225,0,0,55,36,0,2,3128,2
226,0,0,55,37,0,2,3128,3
227,0,0,55,38,0,2,5211,3
228,0,0,55,39,0,1,5211,2
229,0,0,55,40,0,2,5211,1
230,0,0,55,41,0,1,3421,3
231,0,0,55,42,0,2,3421,2
232,0,0,55,43,0,2,5459,3
233,0,0,55,44,0,2,5459,2
234,0,0,55,45,0,2,5459,1
235,0,0,55,46,0,1,5113,3
236,0,0,55,47,0,2,5113,2
237,0,0,55,48,0,1,5113,1
238,0,0,55,49,0,2,4411,1
239,0,0,55,50,0,2,4411,2
240,0,0,55,51,0,2,4411,3
241,0,0,55,52,0,2,2952,3
242,0,0,55,53,0,2,2952,2
243,0,0,54,1,0,1,3789,3
244,0,0,54,2,0,2,3789,2
245,0,0,54,3,0,1,3789,1
246,0,0,54,4,0,2,4695,1
247,0,0,54,5,0,2,4695,2
248,0,0,54,6,0,2,4695,3
249,0,0,54,7,0,2,4801,3
250,0,0,54,8,0,2,4801,2
251,0,0,54,9,0,2,4801,1
252,0,0,54,10,0,2,4547,1
253,0,0,54,11,0,2,4547,2
254,0,0,54,12,0,2,4547,3
255,0,0,54,13,0,2,6407,3
256,0,0,54,14,0,2,6407,2
257,0,0,54,15,0,2,6407,1
258,0,0,54,16,0,2,3063,1
259,0,0,54,17,0,2,3063,2
260,0,0,54,18,0,2,3063,3
261,0,0,54,19,0,2,4374,3
